	auc	ap	hidden	rnd
0	0.8023182212978774	0.03477575008260353	16	0
1	0.837924399386114	0.041621805325966	32	0
2	0.8403848835456985	0.038694142723928966	64	0
3	0.8002418067409491	0.03555200190145762	16	8
4	0.863608314766886	0.06798470754074301	32	8
5	0.7903170688545789	0.023650136567559217	64	8
6	0.8072951547148355	0.03571658896361747	16	16
7	0.8816000515254083	0.09958889167359819	32	16
8	0.8381084745331708	0.038656036203055535	64	16
9	0.8322864629286983	0.04594246380363079	16	32
10	0.8675963230201227	0.11002895229076003	32	32
11	0.8537277913921303	0.050548696676972926	64	32
