	auc	ap	hidden	rnd
0	0.7270536120915564	0.024661485778583674	16	0
1	0.7972427310233255	0.03969212051970818	32	0
2	0.8592866767827603	0.058515704651914954	64	0
3	0.8198098213153858	0.056055001025196415	16	8
4	0.6739629010488198	0.02278747675209674	32	8
5	0.8381246533166127	0.07710396299657069	64	8
6	0.6382106073211036	0.017139158185274877	16	16
7	0.7421254103468097	0.024555859108718055	32	16
8	0.6593332254203854	0.015070292046581916	64	16
9	0.6956758730273003	0.02776813922359732	16	32
10	0.6250838132590284	0.017427600153335294	32	32
11	0.8342508542301019	0.05713373702325957	64	32
